Title,Director,Cast(Subject of documentary),Genre,Notes
Marmaduke,Tom Dey,"Owen Wilson, George Lopez, Lee Pace, Judy Greer, David Walliams, William H. Macy, Steve Coogan, Sam Elliott, Fergie, Jeremy Piven, Christopher Mintz-Plasse, Emma Stone, Kiefer Sutherland, Damon Wayans, Jr., Marlon Wayans","Family, Live-action","20th Century Fox,Regency Enterprises"
Marwencol,Jeff Malmberg,"After a vicious attack leaves him brain-damaged and broke, Mark Hogancamp seeks recovery in ""Marwencol"", a 1/6th scale World War II-era town he creates in his backyard.",Documentary,The Cinema Guild
Megamind,Tom McGrath,"Will Ferrell, Tina Fey, Jonah Hill, David Cross and Brad Pitt","Comedy,Superhero","DreamWorks Animation SKG, Paramount Pictures"
Middle Men,George Gallo,"Luke Wilson, Giovanni Ribisi, Gabriel Macht, James Caan, Jacinda Barrett, Laura Ramsey,Terry Crews, Rade ?erbed?ija, Kelsey Grammer, Kevin Pollak, Robert Forster","Comedy-drama, Crime","Paramount Pictures,Paramount Vantage"
Mirrors 2,Víctor Garciá,"Nick Stahl, Emmanuelle Vaugier, Evan Jones, Christy Carlson Romano, William Katt, Lawrence Turner, Stephanie Honoré, Jon Michael Davis, Jennifer Sipes, Ann Mckenzie",Horror,20th Century Fox
,,,,Direct-to-DVD
,,,,Preceded by Mirrors(2008)
Morning Glory,Roger Michell,"Rachel McAdams, Harrison Ford, Diane Keaton, Patrick Wilson, Jeff Goldblum",Comedy,Paramount Pictures
Mother and Child,Rodrigo García,"Naomi Watts, Annette Bening, Kerry Washington, Jimmy Smits, Samuel L. Jackson, S. Epatha Merkerson, Cherry Jones, Elpidia Carrillo, Shareeka Epps",Drama,Sony Pictures Classics
My Soul to Take,Wes Craven,"Max Thieriot, Denzel Whitaker, Raúl Esparza, Shareeka Epps, Zena Grey, Trevor St. John",Horror,Rogue Pictures
Nanny McPhee Returns,Susanna White,"Emma Thompson, Maggie Gyllenhaal, Rhys Ifans, Maggie Smith, Ralph Fiennes, Ewan McGregor","Family, Fantasy","Universal Pictures,StudioCanal, Relativity Media"
,,,,Preceded by Nanny McPhee (2005)
Never Let Me Go,Mark Romanek,"Carey Mulligan, Andrew Garfield, Keira Knightley",Drama,Fox Searchlight Pictures. Based on the novel of the same name by Kazuo Ishiguro.
The Next Three Days,Paul Haggis,"Russell Crowe, Elizabeth Banks, Brian Dennehy, Olivia Wilde, Liam Neeson",Thriller,Lionsgate
Night Catches Us,Tanya Hamilton,"Anthony Mackie, Kerry Washington",Drama,Magnolia Pictures
