Title,Director,Cast(Subject of documentary),Genre,Notes
Black Rock,Katie Aselton,"Katie Aselton, Lake Bell, Kate Bosworth, Will Bouvier, Jay Paulson, Anslem Richardson",Horror,LD Entertainment,17-May,N/A
"Bless Me, Ultima",Carl Franklin,"Luke Ganalon, Miriam Colon, Benito Martinez, Dolores Heredia",Drama,Arenas Entertainment,22-Feb,N/A
,,,,Based on the novel of thesame name by Rudolfo Anaya
The Bling Ring,Sofia Coppola,"Israel Broussard, Katie Chang, Taissa Farmiga, Claire Julien, Georgia Rock, Emma Watson and Leslie Mann","Comedy,Crime",A24,14-Jun,N/A / 19
Blue Caprice,Alexandre Moors,"Isaiah Washington, Tequan Richmond, Joey Lauren Adams,Tim Blake Nelson",Drama,Sundance Selects,13-Sep,N/A
Blue Jasmine,Woody Allen,"Alec Baldwin, Cate Blanchett, Louis C.K., Bobby Cannavale,Andrew Dice Clay, Sally Hawkins, Peter Sarsgaard, Michael Stuhlbarg",Drama,Sony Pictures Classics,26-Jul,N/A / 97
Blue Ruin,Jeremy Saulnier,"Macon Blair, Devin Ratray, Eve Plumb",Thriller,Madman Entertainment,22-Sep,N/A
The Book of Esther,David A. R. White,"Jen Lilley, Joel Smallbone, Thaao Penghlis, Robert Miano",Drama,Pure Flix Entertainment,11-Jun,N/A
The Book Thief,Brian Percival,"Sophie Nélisse, Geoffrey Rush, Emily Watson, Ben Schnetzer",Drama,20th Century Fox,8-Nov,N/A / 77
,,,,Based on the novel of thesame name by Markus Zusak
Bounty Killer,Henry Saine,"Matthew Marsden, Kristanna Loken, Beverly D'Angelo",Action comedy,Arc Entertainment,6-Sep,N/A
The Brass Teapot,Ramaa Mosley,"Juno Temple, Michael Angarano, Alexis Bledel, Alia Shawkat,Bobby Moynihan, Ben Rappaport, Billy Magnussen",Fantasy-comedy,Magnolia Pictures,April 5,"900,000 / 6,997"
Breathe In,Drake Doremus,"Guy Pearce, Felicity Jones, Amy Ryan, Kyle MacLachlan",Drama,Cohen Media,19-Jan,N/A
Bridegroom,Linda Bloodworth-Thomason,The relationship between two young gay men.,Documentary,Virgil Films & Entertainment,April 23,N/A
Broken City,Allen Hughes,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Barry Pepper, Kyle Chandler, Natalie Martinez and Jeffrey Wright",Crime drama,Regency Enterprises,18-Jan,35 / 20
Bullet to the Head,Walter Hill,"Sylvester Stallone, Sung Kang, Sarah Shahi, Adewale Akinnuoye-Agbaje, Christian Slater and Jason Momoa",Action,"Warner Bros. Pictures,Dark Castle Entertainment",1-Feb,N/A / 9
,,,,Based on the French graphic novel Du Plomb Dans La Tete by Alexis Nolent
The Butler,Lee Daniels,"Forest Whitaker, Oprah Winfrey, John Cusack, Jane Fonda,Cuba Gooding, Jr., Terrence Howard, Lenny Kravitz, James Marsden, David Oyelowo, Vanessa Redgrave, Alan Rickman, Liev Schreiber, Robin Williams, Clarence Williams III",Drama,The Weinstein Company,16-Aug,30 / 177
C.O.G.,Kyle Patrick Alvarez,"Jonathan Groff, Denis O'Hare, Casey Wilson, Dean Stockwell",Drama,Focus Features,20-Sep,N/A
The Call,Brad Anderson,"Halle Berry, Abigail Breslin, Morris Chestnut, Michael Eklundand Michael Imperioli",Thriller,"TriStar Pictures, Stage 6 Films, WWE Studios",15-Mar,13 / 69
Can a Song Save Your Life?,John Carney,"Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld,Cee Lo Green",Musical drama,The Weinstein Company,7-Sep,N/A
The Canyons,Paul Schrader,"Lindsay Lohan, James Deen, Nolan Gerard Funk, Amanda Brooks, Tenille Houston and Gus Van Sant",Erotic thriller,IFC Films,2-Aug,"250,000 / .05"
Captain Phillips,Paul Greengrass,"Tom Hanks, Barkhad Abdi, Catherine Keener, Max Martini,Yul Vazquez, Michael Chernus, Chris Mulkey, Corey Johnson, David Warshofsky, John Magaro, Angus MacInnes","Action drama,Bio-pic,Thriller",Columbia Pictures,11-Oct,55 / 219
,,,,"Based on A Captain's Duty: Somali Pirates, Navy SEALs, and Dangerous Days at Sea by Richard Phillips and Stephan Talty"
Carrie,Kimberly Peirce,"Chloë Grace Moretz, Judy Greer, Portia Doubleday andJulianne Moore",Horror,"MGM Pictures, Screen Gems",18-Oct,30 / 85
,,,,Based on the 1974 novel of the same name byStephen King
CBGB,Randall Miller,"Alan Rickman, Malin Akerman, Freddy Rodriguez, Stana Katic, Howard Deklerk, Rupert Grint, Justin Bartha, Joel David Moore, Johnny Galecki, Donal Logue, Ashley Greene,Taylor Hawkins, Mickey Sumner","Historical,Music",Rampart Films,4-Oct,N/A
Charlie Countryman,Fredrik Bond,"Shia LaBeouf, Evan Rachel Wood, Mads Mikkelsen, Rupert Grint, Vincent D'Onofrio and Melissa Leo","Action,Romantic comedy",Millennium Entertainment,15-Nov,N/A
Cheech & Chong's Animated Movie,Branden Chambers,"Cheech Marin, Tommy Chong",Comedy,20th Century Fox,April 18,N/A
Chilling Visions: 5 Senses of Fear,"Eric England, Nick Everhart,Emily Hagins,Miko Hughes, Jesse Holland","Nicholas Tucci, Caleb Barwick, Hilary Greer, Danae Nason, Ace Marrero",Horror,Chiller Films,21-May,N/A
Clark: A Gonzomentary,Daniel D.W.,"William Clark, James Curcio, David Proch",Mockumentary,,28-Jun,N/A
The Cloth,Justin Price,"Danny Trejo, Eric Roberts, Rachele Brooke Smith, Justin Price",Horror thriller,"Uncork'd Entertainment,Direct-to-video",3-Jul,N/A
Cloudy with a Chance of Meatballs 2,"Cody Cameron, Kris Pearn","Anna Faris, Bill Hader, Andy Samberg, Kristen Schaal,James Caan, Neil Patrick Harris, Benjamin Bratt, Terry Crews, Will Forte","Animated,Comedy,Family","Columbia Pictures, Sony Pictures Animation",27-Sep,78 / 274
,,,,Preceded by Cloudy with a Chance of Meatballs(2009)
Coffin Baby,Dean C. Jones,"Bruce Dern, Brian Krause, Clifton Powell, Ethan Phillips",Horror,"PFG Entertainment,Direct-to-video",9-Jul,N/A
,,,,Preceded by Toolbox Murders (2004)
Company of Heroes,Don Michael Paul,"Tom Sizemore, Chad Michael Collins, Vinnie Jones, Dimitri Diatchenko, Neal McDonough, Jürgen Prochnow",Drama,"Sony Pictures, Direct-to-video",26-Jan,N/A
,,,,Based on the video game of the same name
The Company You Keep,Robert Redford,"Robert Redford, Shia LaBeouf, Julie Christie, Sam Elliott,Jackie Evancho, Brendan Gleeson, Terrence Howard,Richard Jenkins, Anna Kendrick, Brit Marling, Stanley Tucci,Nick Nolte, Chris Cooper, Susan Sarandon",Political thriller,Sony Pictures Classics,April 5,N/A / 20
,,,,Based on the novel of the same name by Neil Jordan
Computer Chess,Andrew Bujalski,"Patrick Riester, Wiley Wiggins, Myles Paige, Robin Schwartz",Comedy,Kino International,17-Jul,N/A
Concussion,Stacie Passon,"Robin Weigert, Maggie Siff, Ben Shenkman, Janel Moloney",Drama,The Weinstein Company,19-Jan,N/A
The Conjuring,James Wan,"Vera Farmiga, Patrick Wilson, Ron Livingston and Lili Taylor,Shannon Kook, Mackenzie Foy, Joey King, Shanley Caswell,Hayley McFarland, Steve Coulter, John Brotherton",Supernatural horror,"Warner Bros. Pictures,New Line Cinema",19-Jul,20 / 318
Contest,Anthony Joseph Giunta,"Kenton Duty, Daniel Flaherty, Katherine McNamara, Mary Beth Peil",Comedy-drama,Arc Entertainment,6-Oct,N/A
Continental,Malcolm Ingram,Involves the history of a gay bathhouse in New York.,Documentary,,10-Mar,N/A
Contracted,Eric England,"Najarra Townsend, Alice Macdonald, Katie Stegeman,Caroline Williams",Horror,IFC Films,23-Nov,N/A
The Contractor,Sean Robert Oison,"Danny Trejo, Brad Rowe, Christina Cox",Action,"Lionsgate, Direct-to-video",10-Sep,N/A
The Counselor,Ridley Scott,"Michael Fassbender, Penelope Cruz, Cameron Diaz, Javier Bardem, Brad Pitt",Crime,"20th Century Fox, Scott Free Productions",25-Oct,25 / 71
The Croods,"Kirk DeMicco,Chris Sanders","Nicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener, Clark Duke, Cloris Leachman","Adventure,Animated,Comedy","20th Century Fox,DreamWorks Animation",22-Mar,135 / 587
Cutie and the Boxer,Zachary Heinzerling,"Noriko Shinohara , Ushio Shinohara",Documentary,RADIUS-TWC,16-Aug,N/A
Dallas Buyers Club,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner and Jared Leto",Drama,Focus Features,1-Nov,5 / 55
Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, Dakota Goyo and J. K. Simmons","Horror, Sci-Fi","Dimension Films, Alliance Films",22-Feb,3.5 / 26
A Dark Truth,Damian Lee,"Andy Garcia, Kim Coates, Deborah Kara Unger, Kevin Durand, Lara Daans, Devon Bostick, Steven Bauer, Al Sapienza, Julio Mechoso, Eva Longoria, Forest Whitaker",Action-thriller,Magnolia Pictures,4-Jan,N/A
Dead Man Down,Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Dominic Cooper, Terrence Howard and Isabelle Huppert","Crime thriller,Neo-noir","FilmDistrict, IM Global,Original Film, WWE Studios",8-Mar,N/A / 18
Despicable Me 2,"Chris Renaud,Pierre Coffin","Steve Carell, Kristen Wiig, Miranda Cosgrove, Russell Brand, Pierre Coffin, Benjamin Bratt, Steve Coogan, Ken Jeong, Kristen Schaal, Moises Arias, Javier Bardem","Animated,Family","Universal Pictures,Illumination Entertainment",20-Jun,76 / 971
,,,,Preceded by Despicable Me (2010)
Disconnect,Henry Alex-Rubin,"Jason Bateman, Hope Davis, Frank Grillo, Michael Nyqvist,Paula Patton, Andrea Riseborough, Alexander Skarsgård,Max Thieriot, Colin Ford, Jonah Bobo",Crime,LD Entertainment,April 12,N/A / 1
Dirty Wars,Richard Rowley,N/A,Documentary,Sundance Selects,18-Jan,N/A
Don Jon,Joseph Gordon-Levitt,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore,Rob Brown, Glenne Headly, Brie Larson and Tony Danza",Romantic comedy,Relativity Media,27-Sep,6?30?
Don't Stop Believin': Everyman's Journey,Ramona Diaz,A look at American rock band Journey and its new lead vocalist Arnel Pineda. Shows scenes from their Revelation Tour in the United States and Pineda's homecoming in the Philippines.,"Concert,Documentary","Cinedigm, Docudrama Films",8-Mar,N/A
Drinking Buddies,Joe Swanberg,"Olivia Wilde, Jake Johnson, Anna Kendrick, Ron Livingston,Ti West, Jason Sudeikis",Romantic comedy,Magnolia Pictures,23-Aug,N/A / .34
Elysium,Neill Blomkamp,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga,Diego Luna, Wagner Moura, William Fichtner","Action, Sci-Fi",TriStar Pictures,9-Aug,115 / 286
Emperor,Peter Webber,"Matthew Fox, Tommy Lee Jones, Eriko Hatsune, Masayoshi Haneda and Toshiyuki Nishida",War,Roadside Attractions,8-Mar,N/A / 3
,,,,Based on His Majesty's Salvation by Shiro Okamoto
Empire State,Dito Montiel,"Liam Hemsworth, Dwayne Johnson, Emma Roberts",Crime,Lionsgate,13-Sep,N/A
Ender's Game,Gavin Hood,"Asa Butterfield, Hailee Steinfeld, Ben Kingsley, Viola Davis,Abigail Breslin and Harrison Ford","Action, Sci-Fi","Summit Entertainment,OddLot Entertainment",1-Nov,110 / 125
,,,,Based on the novel of thesame name by Orson Scott Card
The English Teacher,Craig Zisk,"Julianne Moore, Michael Angarano, Greg Kinnear, Lily Collins and Nathan Lane",Comedy-drama,"Cinedigm, Tribeca Film, Artina Films",17-Jun,N/A
Enough Said,Nicole Holofcener,"Julia Louis-Dreyfus, James Gandolfini, Catherine Keener,Toni Collette, Ben Falcone",Comedy,Fox Searchlight Pictures,18-Sep,N/A / 25
Epic,Chris Wedge,"Beyoncé Knowles, Colin Farrell, Josh Hutcherson, Amanda Seyfried, Christoph Waltz, Aziz Ansari, Pitbull, Jason Sudeikis, Chris O'Dowd, Steven Tyler, Blake Anderson,Judah Friedlander","Adventure,Animated,Family,Fantasy-comedy","20th Century Fox, Blue Sky Studios",24-May,100 / 268
Erased,Philipp Stölzl,"Aaron Eckhart, Olga Kurylenko, Liana Liberato, Alexander Fehling, Garrick Hagon",Thriller,The Weinstein Company,17-May,N/A
Escape from Planet Earth,Cal Brunker,"Rob Corddry, Brendan Fraser, Sarah Jessica Parker, William Shatner, Jessica Alba, Craig Robinson, George Lopez,James Corden, Jane Lynch, Sofia Vergara","Animated, Sci-Fi","The Weinstein Company,Rainmaker Entertainment",15-Feb,40 / 71
Escape Plan,Mikael Håfström,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel,Curtis ""50 Cent"" Jackson, Vinnie Jones, Vincent D'Onofrioand Amy Ryan",Action,Summit Entertainment,18-Oct,NA / 137
Evil Dead,Fede Alvarez,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore",Horror,"TriStar Pictures, Ghost House Pictures,FilmDistrict",April 5,17 / 97
The Face of Love,Arie Posin,"Robin Williams, Annette Bening, Ed Harris, Amy Brenneman,Jess Weixler, Linda Park",Romantic comedy,IFC Films,20-Sep,N/A
Family Weekend,Benjamin Epps,"Olesya Ruin, Kristin Chenoweth, Matthew Modine, Joey King,Shirley Jones",Drama,Arc Entertainment,29-Mar,N/A
Far Marfa,Cory Van Dyke,"Johnny Sneed, Jesse Bernstein, Julie Mintz, Ty Mitchell, Jolyn Janis, Will Nelson",Comedy-drama,,25-Feb,N/A
Fast & Furious 6,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson, Chris Bridges,Sung Kang, Luke Evans, Gina Carano, John Ortiz, Gal Gadot, Joe Taslim, Clara Paget, Elsa Pataky, Kim Kold, Rita Ora, Shea Whigham",Action,"Universal Pictures,Original Film, One Race Films",24-May,160 / 789
,,,,Preceded by Fast Five(2011)
The Fifth Estate,Bill Condon,"Benedict Cumberbatch, Daniel Brühl, Anthony Mackie, David Thewlis, Alicia Vikander, Stanley Tucci and Laura Linney",Thriller,"DreamWorks Pictures,Reliance Entertainment,Participant Media",18-Oct,9?28?
,,,,Based on Inside WikiLeaks: My Time with Julian Assange and the World's Most Dangerous Website by Daniel Domscheit-Berg andWikiLeaks: Inside Julian Assange's War on Secrecy by David Leighand Luke Harding
Five Dances,Alan Brown,"Ryan Steele, Reed Luplau, Catherine Miller, Kimye Corwin",Romantic drama,Wolfe Releasing,4-Oct,N/A
Foodfight!,Lawrence Kasanoff,"Charlie Sheen, Wayne Brady, Hilary Duff, Robert Costanzo,Chris Kattan, Eva Longoria, Christopher Lloyd, Ed Asner,Jerry Stiller, Christine Baranski","Animation,Family",Lions Gate Entertainment,18-Feb
Frances Ha,Noah Baumbach,"Greta Gerwig, Mickey Summer, Adam Driver",Comedy-drama,IFC Films,17-May,N/A / 4
The Frankenstein Theory,Andrew Weiner,"Kris Lemche, Joe Egender, Timothy V. Murphy, Heather Stephens",Horror,Image Entertainment,1-Mar,N/A
Free Birds,Jimmy Hayward,"Owen Wilson, Woody Harrelson, Amy Poehler, Dan Fogler,Lesley Nicol, George Takei, Colm Meaney, Keith David,Carlos Alazraqui, Josh Lawson, Danny Carey, Dwight Howard","Animated,Buddy comedy","Relativity Media, Reel FX Animation Studios",1-Nov,55 / 110
Fright Night 2: New Blood,Eduardo Rodríguez,"Will Payne, Jaime Murray, Sean Power, Sacha Parkinson",Horror comedy,"20th Century Fox, Direct-to-video",1-Oct,N/A
,,,,Preceded by Fright Night(2011)
Frozen,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff","Animated,Fantasy,Musical",Walt Disney Pictures,27-Nov,150 / 1245
,,,,Based on The Snow Queen by Hans Christian Andersen
The Frozen Ground,Scott Walker,"Nicolas Cage, John Cusack, Vanessa Hudgens, 50 Cent,Radha Mitchell",Thriller,Lionsgate,23-Aug,N/A
Fruitvale Station,Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Kevin Durand, Chad Michael Murray, Ahna O'Reilly and Octavia Spencer",Drama,The Weinstein Company,12-Jul,N/A / 17
G.B.F.,Darren Stein,"Sasha Pieterse, Andrea Bowen, Xosha Roquemore, JoJo,Molly Tarlov",Comedy,Vertical Entertainment,19-Mar,N/A
G.I. Joe: Retaliation,Jon M. Chu,"D.J. Cotrona, Byung-hun Lee, Adrianne Palicki, Ray Park,Jonathan Pryce, Ray Stevenson, Channing Tatum, Bruce Willis, Dwayne Johnson",Action-adventure,"Paramount Pictures, MGM Pictures, Skydance Productions",28-Mar,130 / 376
,,,,Preceded by G.I. Joe: The Rise of Cobra (2009)
Gangster Squad,Ruben Fleischer,"Josh Brolin, Ryan Gosling, Nick Nolte, Emma Stone, Anthony Mackie, Giovanni Ribisi, Michael Peña, Robert Patrick andSean Penn","Action, Crime drama",Warner Bros.,11-Jan,60 / 105
Generation Iron,Vlad Yudin,Follows bodybuilders as they train and compete for Mr. Olympia.,Documentary,The Vladar Company,20-Sep,N/A
Geography Club,Gary Entin,"Nikki Blonsky, Cameron Deane Shute, Justin Deeley, Alex Newell, Ana Gasteyer, Meaghan Martin, Scott Bakula, Allie Gonino",Comedy-drama,"Shoreline Entertainment, Huffington Pictures",15-Nov,N/A
,,,,Based on the novel of thesame name by Brent Hartinger
Getaway,Courtney Solomon,"Ethan Hawke, Selena Gomez, Jon Voight, Rebecca Budig,Paul Freeman, Bruce Payne",Action-thriller,"Warner Bros. Pictures,Dark Castle Entertainment",30-Aug,11?18?
The Ghost Army,Rick Beyer,A secret U.S. army unit set to misdirect Nazi Germany.,Documentary,PBS Distribution,7-Mar,N/A
Girl Most Likely,Shari Springer Berman and Robert Pulcini,"Kristen Wiig, Annette Bening, Matt Dillon, Darren Criss",Comedy,Lionsgate,19-Jul,N/A / 1
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,"Charlie Sheen, Jason Schwartzman, Katheryn Winnick,Aubrey Plaza, Mary Elizabeth Winstead, Patricia Arquette,Bill Murray",Comedy-drama,American Zoetrope,8-Feb,N/A
Go for Sisters,John Sayles,"LisaGay Hamilton, Edward James Olmos, Yolonda Ross, Hilary Barraford",Thriller,,11-Mar,N/A
A Good Day to Die Hard,John Moore,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead, Yuliya Snigir, Radivoje Bukvic, Cole Hauser,Amaury Nolasco",Action,20th Century Fox,14-Feb,92 / 305
,,,,Preceded by Live Free or Die Hard (2007)
Grace Unplugged,Brad J. Silverman,"AJ Michalka, James Denton, Kevin Pollak, Michael Welch,Shawnee Smith, Chris Tomlin",Drama,"Roadside Attractions,Lionsgate",4-Oct,1.7 / 2.5
Gravity,Alfonso Cuarón,"Sandra Bullock, George Clooney","Drama,Thriller",Warner Bros.,4-Oct,100 / 716
The Great Gatsby,Baz Luhrmann,"Leonardo DiCaprio, Tobey Maguire, Carey Mulligan, Joel Edgerton, Amitabh Bachchan, Isla Fisher, Jason Clarke,Elizabeth Debicki",Romantic drama,"Warner Bros., Village Roadshow Pictures",10-May,105 / 351
,,,,Based on the novel of thesame name by F. Scott Fitzgerald
The Green Inferno,Eli Roth,"Lorenza Izzo, Ariel Levy, Sky Ferreira, Daryl Sabara, Kirby Bliss Blanton",Horror,Exclusive Media,8-Sep,N/A
Greetings from Tim Buckley,Daniel Algrant,"Penn Badgley, Imogen Poots, Norbert Leo Butz, Ben Rosenfield, Frank Wood, Frank Bello, William Sadler, Kate Nash, Jessica Stone","Bio-pic,Drama, Music","Tribeca Film, Focus World",3-May,N/A
"Grow Up, Tony Phillips",Emily Hagins,"Tony Vespe, Caleb Barwick, Devin Bonnée, AJ Bowen",Comedy,Arcanum Pictures,31-Oct,N/A
Grown Ups 2,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade,Salma Hayek, Maya Rudolph, Maria Bello, Nick Swardson,Taylor Lautner, David Henrie, Patrick Schwarzenegger,Cheri Oteri, Steve Buscemi, Milo Ventimiglia, Aly Michalka,Alexander Ludwig, Andy Samberg, Steve Austin, Will Forte,Taran Killam, Jon Lovitz, Akiva Schaffer, Jorma Taccone,Tim Meadows, Shaquille O'Neal, Colin Quinn, Bobby Moynihan, Paul Brittain",Comedy,"Columbia Pictures, Happy Madison Productions",12-Jul,80 / 247
,,,,Preceded by Grown Ups(2010)
Grudge Match,Peter Segal,"Robert De Niro, Sylvester Stallone, Kevin Hart, Alan Arkin,Kim Basinger, Jon Bernthal","Boxing,Comedy",Warner Bros. Pictures,25-Dec,40 / 42
The Hangover Part III,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Ken Jeong,Heather Graham, Jeffrey Tambor, Justin Bartha, John Goodman",Comedy,"Warner Bros., Legendary Pictures",23-May,103 / 362
